Palabra en Inglés;Palabra en Español;Categoría;Tamaño;Descripción
Air;Aire;Elemental;Muy Grande;El gas que rodea la Tierra.
Airplane;Avión;Transporte;Grande;Medio de transporte aéreo.
Alien;Extraterrestre;Ciencia ficción;Mediano;Ser de otro planeta, a veces representado como invasor en la ciencia ficción.
Axe;Hacha;Arma;Pequeño;Herramienta utilizada para cortar.
Baby;Bebé;Persona;Muy pequeño;Ser humano en sus primeras etapas de vida.
Beer;Cerveza;Comestibles;Muy pequeño;Bebida alcohólica.
Bicycle;Bicicleta;Transporte;Mediano;Vehículo de dos ruedas impulsado por pedales.
Bird;Pájaro;Animal;Muy pequeño;Ave voladora.
Blood;Sangre;Comestibles;Pequeño;Líquido vital en el cuerpo humano.
Book;Libro;Objeto;Muy pequeño;Objeto impreso con información.
Bowl;Tazón;Objeto;Muy pequeño;Recipiente para alimentos líquidos o sólidos.
Brain;Cerebro;Comestibles;Muy pequeño;Órgano principal del sistema nervioso.
Butter;Mantequilla;Comestibles;Muy pequeño;Producto lácteo utilizado en cocina.
Cage;Jaula;Objeto;Mediano;Recipiente para confinar animales.
Camera;Cámara;Objeto;Muy pequeño;Dispositivo para capturar imágenes y videos.
Car;Coche;Transporte;Mediano;Medio de transporte terrestre.
Castle;Castillo;Edificio;Grande;Estructura fortificada, a menudo asociada con realeza o nobleza.
Cat;Gato;Animal;Pequeño;Mamífero doméstico.
Chain;Cadena;Arma;Pequeño;Serie de eslabones metálicos enlazados.
Chainsaw;Motosierra;Arma;Pequeño;Herramienta eléctrica utilizada para cortar madera.
Church;Iglesia;Edificio;Grande;Lugar de culto religioso.
Cloud;Nube;Naturaleza;Grande;Masa de vapor de agua en la atmósfera.
Cockroach;Cucaracha;Animal;Muy pequeño;Insecto común en hogares.
Community;Comunidad;Persona;Muy Grande;Grupo de personas que comparten intereses o ubicación geográfica.
Computer;Computadora;Objeto;Muy pequeño;Dispositivo electrónico para procesar información.
Cross;Cruz;Concepto;Muy pequeño;Símbolo religioso.
Cup;Taza;Objeto;Muy pequeño;Recipiente para bebidas.
Death;Muerte;Concepto;Muy Grande;El final de la vida.
Devil;Diablo;Ciencia ficción;Grande;Figura maligna en algunas religiones.
Diamond;Diamante;Elemental;Muy pequeño;Preciosa gema de alta dureza.
Dragon;Dragón;Ciencia ficción;Grande;Criatura mítica, a menudo con habilidades sobrenaturales.
Duck;Pato;Animal;Pequeño;Ave acuática.
Dynamite;Dinamita;Arma;Muy pequeño;Explosivo utilizado en construcción y demolición.
Electricity;Electricidad;Elemental;Muy Grande;Energía producida por la carga eléctrica.
Fence;Cerca;Edificio;Pequeño;Barrera para delimitar o proteger un área.
Film;Película;Concepto;Mediano;Producción audiovisual.
Fire;Fuego;Elemental;Muy Grande;Reacción química que produce calor y luz.
Fish;Pescado;Animal;Muy pequeño;Animal acuático.
Gold;Oro;Elemental;Pequeño;Metal precioso y valioso.
Grass;Hierba;Elemental;Grande;Vegetación verde que cubre el suelo.
Guitar;Guitarra;Objeto;Pequeño;Instrumento musical de cuerdas.
Gun;Pistola;Arma;Muy pequeño;Arma de fuego.
Heart;Corazón;Comestibles;Muy pequeño;Órgano vital que bombea sangre.
Helicopter;Helicóptero;Transporte;Grande;Vehículo aéreo con rotores giratorios.
Home;Hogar;Edificio;Grande;Lugar de residencia.
King;Rey;Persona;Pequeño;Monarca masculino.
Laser;Láser;Arma;Pequeño;Dispositivo que emite luz coherente.
Law;Ley;Concepto;Muy Grande;Reglas y regulaciones establecidas por la sociedad.
Lightning;Relámpago;Naturaleza;Grande;Descarga eléctrica en la atmósfera.
Man;Hombre;Persona;Pequeño;Ser humano de género masculino.
Math;Matemáticas;Concepto;Muy Grande;Disciplina que estudia las propiedades y relaciones de los números.
Medusa;Medusa;Ciencia ficción;Mediano;Ser mitológico con cabello de serpientes.
Money;Dinero;Concepto;Pequeño;Medio de intercambio y unidad de valor.
Monkey;Mono;Animal;Pequeño;Primate similar a los seres humanos.
Moon;Luna;Naturaleza;Muy Grande;Satélite natural de la Tierra.
Mountain;Montaña;Naturaleza;Muy Grande;Gran elevación de terreno.
Noise;Ruido;Elemental;Muy Grande;Sonido no deseado o perturbador.
Nuke;Bomba nuclear;Arma;Mediano;Arma que utiliza reacciones nucleares para explosiones masivas.
Paper;Papel;Objeto;Muy pequeño;Material de escritura o impresión.
Peace;Paz;Concepto;Muy Grande;Estado de tranquilidad y ausencia de conflictos.
Pit;Foso;Edificio;Grande;Cavidad o hoyo en la tierra.
Planet;Planeta;Naturaleza;Muy Grande;Cuerpo celeste que orbita una estrella.
Platimum;Platino;Elemental;Pequeño;Metal precioso utilizado en joyería y tecnología.
Poison;Veneno;Arma;Muy pequeño;Sustancia tóxica para seres vivos.
Police;Policía;Persona;Pequeño;Oficial encargado de hacer cumplir la ley.
Porcupine;Puercoespín;Animal;Muy pequeño;Mamífero cubierto de púas afiladas.
Power;Poder;Concepto;Muy Grande;Capacidad o control sobre otros.
Prayer;Oración;Concepto;Muy Grande;Acto de comunicarse con lo divino a través de la oración.
Prince;Príncipe;Persona;Pequeño;Hijo del rey o reina.
Princess;Princesa;Persona;Pequeño;Hija del rey o reina.
Queen;Reina;Persona;Pequeño;Monarca femenina.
Quicksand;Arena movediza;Naturaleza;Grande;Suelo saturado de agua que se comporta como un líquido.
Rain;Lluvia;Naturaleza;Muy Grande;Precipitación de agua desde las nubes.
Rainbow;Arco iris;Naturaleza;Muy Grande;Fenómeno óptico con colores del espectro.
Robot;Robot;Ciencia ficción;Mediano;Máquina programable que realiza tareas automáticas.
Rock;Roca;Arma;Grande;Material sólido compuesto por minerales.
Satan;Satán;Concepto;Muy Grande;Figura maligna en algunas creencias religiosas.
School;Escuela;Edificio;Grande;Institución educativa.
Scissors;Tijeras;Arma;Muy pequeño;Herramienta para cortar papel, tela, etc.
Sky;Cielo;Naturaleza;Muy Grande;Espacio atmosférico visible desde la Tierra.
Snake;Serpiente;Animal;Pequeño;Reptil sin patas.
Spider;Araña;Animal;Muy pequeño;Arácnido con ocho patas.
Sponge;Esponja;Objeto;Muy pequeño;Material poroso utilizado para limpiar o absorber líquidos.
Sun;Sol;Naturaleza;Muy Grande;Estrella central del sistema solar.
Sword;Espada;Arma;Pequeño;Arma blanca de hoja afilada.
T.V.;Televisión;Objeto;Pequeño;Dispositivo para ver programas y películas.
Tank;Tanque;Transporte;Grande;Vehículo militar blindado.
Toilet;Inodoro;Objeto;Muy pequeño;Sanitario para desechar desechos humanos.
Tornado;Tornado;Naturaleza;Grande;Torbellino destructivo de viento.
Train;Tren;Transporte;Grande;Vehículo ferroviario para transporte de pasajeros o carga.
Tree;Árbol;Naturaleza;Grande;Planta de tronco leñoso con ramas y hojas.
Turnip;Nabo;Comestibles;Muy pequeño;Verdura comestible de raíz.
U.F.O.;OVNI;Ciencia ficción;Grande;Objeto volador no identificado.
Vampire;Vampiro;Ciencia ficción;Mediano;Ser mitológico que se alimenta de sangre.
Video Game;Videojuego;Concepto;Mediano;Juego electrónico interactivo.
Vulture;Buitre;Animal;Pequeño;Ave carroñera que se alimenta de animales muertos.
Wall;Pared;Edificio;Grande;Superficie vertical que separa espacios.
Water;Agua;Elemental;Muy Grande;Sustancia líquida esencial para la vida.
Whip;Látigo;Arma;Pequeño;Instrumento utilizado para golpear o azotar.
Wolf;Lobo;Animal;Pequeño;Mamífero carnívoro de la familia de los cánidos.
Woman;Mujer;Persona;Pequeño;Ser humano de género femenino.
